Purity of drugs, 2019-2023;;;;;;;;;;;
Region;SubRegion;Country/Territory;LevelOfSale;DrugGroup;Drug;Specify;Year;Typical;Minimum;Maximum;Measurement
Americas;South America;Paraguay;Retail;Cocaine-type drugs;“Crack” cocaine;;2020;40;40;60;
Americas;South America;Paraguay;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2020;60;60;80;% (percent)
Americas;South America;Paraguay;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2020;5;1;6;% (percent)
Americas;South America;Paraguay;Wholesale;Cocaine-type drugs;“Crack” cocaine;;2020;;40;60;% (percent)
Americas;South America;Paraguay;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2020;75;60;90;% (percent)
Americas;South America;Paraguay;Retail;Cocaine-type drugs;“Crack” cocaine;;2021;57;5;96,5;% (percent)
Americas;South America;Paraguay;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2021;80;0,5;98,9;% (percent)
Americas;South America;Paraguay;Wholesale;Cocaine-type drugs;“Crack” cocaine;;2021;57;5;96,5;% (percent)
Americas;South America;Paraguay;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2021;80;0,5;98,9;% (percent)
Americas;South America;Paraguay;Retail;Cannabis-type drugs;Cannabis herb (marijuana);;2022;7;4;11;% (percent)
Americas;South America;Paraguay;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2022;71;14;92;% (percent)
Americas;South America;Paraguay;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2022;7;4;11;% (percent)
Americas;South America;Paraguay;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2022;71;14;92;% (percent)
Americas;South America;Peru;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2020;;60,79;91,57;% (percent)
Americas;South America;Peru;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2021;68,61;45,6;92,12;% (percent)
Americas;South America;Peru;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2021;84,05;47,89;92,76;% (percent)
Americas;South America;Peru;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2022;88,86;5,59;94,59;% (percent)
Americas;South America;Peru;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2023;89,09;20,92;98,27;% (percent)
Americas;South America;Venezuela (Bolivarian Republic of);Retail;Cannabis-type drugs;Cannabis herb (marijuana);;2022;40;;;
Americas;South America;Venezuela (Bolivarian Republic of);Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2022;51,6;45;62;mg/tablet
Asia;Central Asia and Transcaucasia;Georgia;Retail;“Ecstasy”-type substances;Ecstasy-type substances;;2019;60;30;150;mg/tablet
Asia;Central Asia and Transcaucasia;Georgia;Retail;“Ecstasy”-type substances;Ecstasy-type substances;;2019;60;40;85;% (percent)
Asia;Central Asia and Transcaucasia;Georgia;Retail;ATS;Amphetamine;;2019;60;40;85;% (percent)
Asia;Central Asia and Transcaucasia;Georgia;Retail;ATS;Methamphetamine;;2019;60;40;85;% (percent)
Asia;Central Asia and Transcaucasia;Georgia;Retail;Cannabis-type;Hashish (resin);;2019;10;5;20;% (percent)
Asia;Central Asia and Transcaucasia;Georgia;Retail;Cannabis-type;Marijuana (herb);;2019;12;2;18;% (percent)
Asia;Central Asia and Transcaucasia;Georgia;Retail;Cocaine-type;Cocaine salts;;2019;60;10;80;% (percent)
Asia;Central Asia and Transcaucasia;Georgia;Retail;Opioids;Heroin;;2019;60;3;75;% (percent)
Asia;Central Asia and Transcaucasia;Kazakhstan;Retail;Cannabis-type;Hashish (resin);;2019;70;50;90;% (percent)
Asia;Central Asia and Transcaucasia;Kazakhstan;Wholesale;Cannabis-type;Hashish (resin);;2019;80;70;90;% (percent)
Asia;Central Asia and Transcaucasia;Kazakhstan;Wholesale;Opioids;Heroin;;2019;20;15;25;% (percent)
Asia;Central Asia and Transcaucasia;Kyrgyzstan;Wholesale;Opioids;Heroin;;2021;30;;;% (percent)
