Prices of drugs, 2019-2023;;;;;;;;;;;
Region;SubRegion;Country/Territory;DrugGroup;Drug;Specify;LevelOfSale;Year;Typical_USD;Minimum_USD;Maximum_USD;Unit
Asia;Near and Middle East/ South-West Asia;Pakistan;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;$1.239,32;$1.183,83;$1.294,81;Kilograms
Europe;Western and Central Europe;Belgium;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2023;$1.297,30;$875,68;$2.032,43;Kilograms
Europe;Western and Central Europe;Belgium;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;$1.366,70;$658,59;$2.282,93;Kilograms
Europe;Western and Central Europe;United Kingdom;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;$1.854,14;$988,88;$3.708,28;Kilograms
Europe;Western and Central Europe;Belgium;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$1.887,87;$915,33;$3.089,24;Kilograms
Europe;Western and Central Europe;Poland;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2023;$1.925,82;$951,02;$3.566,33;Kilograms
Europe;Western and Central Europe;United Kingdom;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$1.928,02;$1.028,28;$3.856,04;Kilograms
Europe;Western and Central Europe;Belgium;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;$2.020,17;$1.253,86;$3.143,53;Kilograms
Europe;Eastern Europe;Russian Federation;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$2.049,10;$1.092,85;$3.961,59;Kilograms
Europe;Western and Central Europe;United Kingdom;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;$2.063,27;$1.100,41;$4.126,55;Kilograms
Europe;South-Eastern Europe;Bulgaria;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;$2.155,17;$1.616,38;$2.424,57;Kilograms
Europe;South-Eastern Europe;Bulgaria;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;$2.305,83;$1.820,39;$2.730,58;Kilograms
Europe;Western and Central Europe;Poland;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;$2.338,88;$1.039,50;$7.796,26;Kilograms
Europe;South-Eastern Europe;Croatia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$2.402,75;$2.288,33;$2.974,83;Kilograms
Europe;South-Eastern Europe;Croatia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;$2.431,79;$2.372,48;$2.846,98;Kilograms
Asia;South Asia;India;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$2.698,69;;;Kilograms
Europe;Western and Central Europe;Slovenia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2023;$2.702,70;$1.621,62;$3.783,78;Kilograms
Europe;Western and Central Europe;Germany;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;$2.718,65;$1.676,50;$6.540,57;Kilograms
Asia;Near and Middle East/ South-West Asia;Pakistan;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;$2.735,52;$1.298,21;$4.172,82;Kilograms
Europe;Western and Central Europe;Slovenia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;$2.860,41;$1.716,25;$4.004,58;Kilograms
Europe;Western and Central Europe;Denmark;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2023;$2.903,60;$2.177,70;$4.065,04;Kilograms
Europe;Western and Central Europe;Germany;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;$3.037,96;$711,74;$5.634,64;Kilograms
Europe;Western and Central Europe;Ireland;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;$3.161,22;;;Kilograms
Europe;Western and Central Europe;Ireland;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2023;$3.243,24;;;Kilograms
Europe;South-Eastern Europe;Bulgaria;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2023;$3.595,13;$2.765,49;$4.424,78;Kilograms
